test_main :: 2021-09-01 23:59:01.539316 >>> 크롤링 걸린시간: 3.213306427001953 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
main :: 2021-09-01 23:59:04.198058 >>> 크롤링 걸린시간: 2.4840283393859863 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
test_main :: 2021-09-02 00:00:12.870855 >>> 크롤링 걸린시간: 0.5384101867675781 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
main :: 2021-09-02 00:00:13.607894 >>> 크롤링 걸린시간: 0.5156302452087402 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
test_main :: 2021-09-02 00:00:24.519677 >>> 크롤링 걸린시간: 0.5936000347137451 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
main :: 2021-09-02 00:00:25.313674 >>> 크롤링 걸린시간: 0.5316967964172363 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
test_main :: 2021-09-02 00:00:34.023934 >>> 크롤링 걸린시간: 0.5714590549468994 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
main :: 2021-09-02 00:00:34.768944 >>> 크롤링 걸린시간: 0.528588056564331 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
test_main :: 2021-09-02 00:03:54.710294 >>> 크롤링 걸린시간: 2.581587791442871 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
main :: 2021-09-02 00:03:59.348680 >>> 크롤링 걸린시간: 4.422963380813599 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
